model,category,manufacturer,series,commercial_pricing_usd,commercial_warranty_years,key_features,brand,electrical_rated_power,electrical_running_motor_capacity,electrical_phase,electrical_max_pv_input_power,electrical_max_dc_voltage,electrical_start-up_voltage,electrical_mppt_voltage_range,electrical_number_of_mppt_trackers/max_input_current,electrical_nominal_output_voltage,electrical_output_voltage_range,electrical_nominal_output_current,electrical_power_factor,electrical_max_conversion_efficiency_dc_ac,electrical_ac_start-up_voltage_auto_restart_voltage,electrical_acceptable_input_voltage_range,electrical_frequency_range,electrical_maximum_ac_input_current,electrical_output_waveform,mechanical_dimension_dxwxh_mm,mechanical_net_weight_kg,environmental_humidity,environmental_ip_degree,environmental_operating_temperature_celsius,environmental_storage_temperature_celsius,communication_communication_port,certifications,product_id,extraction_metadata,mechanical_gross_weight_kg,electrical_max_input_power,electrical_max_input_voltage,electrical_start_voltage,electrical_rated_input_voltage,electrical_number_of_mppt_trackers,electrical_number_of_strings_per_mppt,electrical_max_current_per_mppt,electrical_max_short-circuit_current_per_mppt,electrical_max_output_current,electrical_rated_output_power,electrical_max_output_power,electrical_rated_grid_frequency,electrical_rated_grid_voltage,electrical_thdi,electrical_max_efficiency,electrical_european_efficiency,electrical_mppt_efficiency,mechanical_dimensions_dxwxh_mm,mechanical_weight_kg,environmental_operating_temperature_range,environmental_cooling_method,environmental_protection_degree,environmental_max_operating_altitude,communication_display,communication_communication,electrical_maximum_pv_input_power,electrical_maximum_charging_power,electrical_maximum_dc_voltage,electrical_start-up_voltage/initial_feeding_voltage,electrical_number_of_mppt_trackers/maximum_input_current,electrical_maximum_conversion_efficiency_dc_ac,electrical_nominal_dc_voltage,electrical_maximum_solar_changing_current,electrical_maximum_ac_charging_current,electrical_maximum_charging_current,electrical_efficiency_dc_to_ac,electrical_magnum_solar_changing_cument,electrical_maximum_ac_charging_cument,mechanical_dimension_dxwxh_imm,electrical_maximum_solar_changing_cument,electrical_rated_input_voltage_vac,electrical_voltage_range_vac,electrical_frequency_hz,electrical_rated_capacity_kw,electrical_surge_power_kva,electrical_voltage_vac,electrical_power_factor_pf,electrical_frequency,electrical_switch_time_ms,electrical_wave_form,electrical_overload_capacity_battery_mode,electrical_max_efficiency_battery_mode,electrical_parallel_quantity,electrical_solar_charger_type,electrical_max_pv_input_current_power,electrical_mppt_range_operating_voltage_vdc,electrical_max_pv_open_circuit_voltage_vdc,electrical_max_pv_charge_current_a,electrical_max_ac_charge_current_a,electrical_max_charge_current_pv_ac_a,electrical_rated_voltage_vdc,electrical_floating_charge_voltage_vdc,electrical_overcharge_protection_vdc,mechanical_dimensions_w_h_d_mm,environmental_ingress_protection,environmental_operating_temperature,environmental_relative_humidity,environmental_storage_temperature,communication_interface,electrical_max_pv_input_current_input_power,mechanical_dimensions_w_h_d,communication_monitoring,electrical_ac_charge_current_a
MEGA-10KW,hybrid_system,BEVE POWER,MEGA,N/A,5,"2 Independent AC Inputs, 2 Outputs, High Efficiency, Wi-Fi, Maximize PV Input Power(2 MPPTs), Parallel Function, Touchscreen",BEVE POWER,,,,,,,50-450Vdc,,220/230/240VAC,184-254.5 VAC or 195.5-253 VAC or 184-264.4 VAC Select,43.5A,>0.99,,135-140 VAC/180VAC,90-280,50Hz/60Hz,70A,Pure sine wave,500x483x260,42,5% to 95% Relative Humidity(Non-condensing),IP65,-10°C~50°C,-15°C~60°C,RS232/RS45/CAN/WiFi Drycontact,['N/A'],mega-10kw,"{'source_document': 'BEVE POWER PRODUCT CATALOG 0507.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,10000W,,,,,,,,,,,,,,,,16200W,10000W,520Vdc,90Vdc/120Vdc,2/18A-36A,97%,51.2Vdc,220A,220A,220A,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEGA-12KW,hybrid_system,BEVE POWER,MEGA,N/A,5,"2 Independent AC Inputs, 2 Outputs, High Efficiency, Wi-Fi, Maximize PV Input Power(2 MPPTs), Parallel Function, Touchscreen",BEVE POWER,,,,,,,50-450Vdc,,220/230/240VAC,184-254.5 VAC or 195.5-253 VAC or 184-264.4 VAC Select,52.2A,>0.99,,135-140 VAC/180VAC,90-280,50Hz/60Hz,70A,Pure sine wave,500x483x260,45,5% to 95% Relative Humidity(Non-condensing),IP65,-10°C~50°C,-15°C~60°C,RS232/RS45/CAN/WiFi Drycontact,['N/A'],mega-12kw,"{'source_document': 'BEVE POWER PRODUCT CATALOG 0507.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,12000W,,,,,,,,,,,,,,,,16200W,12000W,520Vdc,90Vdc/120Vdc,2/18A-36A,97%,51.2Vdc,250A,250A,250A,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEGA-ECO-6KW,hybrid_system,BEVE POWER,MEGA-ECO,N/A,N/A,"Parallel Operation, 2 Independent AC Inputs, 2 Outputs, High Efficiency, Wi-Fi, Maximize PV Input Power(2 MPPTs), Touchscreen",BEVE POWER,,,,,,,60-450dc,,220/230/240VAC,184-254.5 VAC or 195.5-253 VAC or 184-264.4 VAC Selec,26.1A,0.99,,135-140 VAC/180 VAC,90-280,50Hz/60Hz,60A,Pure sine wave,,30,5% to 95% Relative Humidity(Non-condensingg,N/A,10°C~50°C,-15°C~60°C,RS232/RS-485/CANWiFi/ Drycontact,['N/A'],mega-eco-6kw,"{'source_document': 'BEVE POWER PRODUCT CATALOG 0507.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,6000W,,,,,,,,,,,,,,,,5000W,6000W,500Vdc,90Vdc/120Vdc,2/18A,97%,4Vdc,,,115A,,115A,115A,500x455x122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEGA-ECO-8KW,hybrid_system,BEVE POWER,MEGA-ECO,N/A,N/A,"Parallel Operation, 2 Independent AC Inputs, 2 Outputs, High Efficiency, Wi-Fi, Maximize PV Input Power(2 MPPTs), Touchscreen",BEVE POWER,,,,,,,60-450dc,,220/230/240VAC,184-254.5 VAC or 195.5-253 VAC or 184-264.4 VAC Selec,43.5A,0.99,,135-140 VAC/180 VAC,90-280,50Hz/60Hz,60A,Pure sine wave,,38,5% to 95% Relative Humidity(Non-condensingg,N/A,10°C~50°C,-15°C~60°C,RS232/RS-485/CANWiFi/ Drycontact,['N/A'],mega-eco-8kw,"{'source_document': 'BEVE POWER PRODUCT CATALOG 0507.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,8000W,,,,,,,,,,,,,,,,1500W,8000W,500Vdc,90Vdc/120Vdc,2/18A-36A,97%,4Vdc,,,220A,,190A,220A,500x432x60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEGA-ECO-10KW,hybrid_system,BEVE POWER,MEGA-ECO,N/A,N/A,"Parallel Operation, 2 Independent AC Inputs, 2 Outputs, High Efficiency, Wi-Fi, Maximize PV Input Power(2 MPPTs), Touchscreen",BEVE POWER,,,,,,,60-450dc,,220/230/240VAC,184-254.5 VAC or 195.5-253 VAC or 184-264.4 VAC Selec,34.8A,0.99,,135-140 VAC/180 VAC,90-280,50Hz/60Hz,60A,Pure sine wave,,42,5% to 95% Relative Humidity(Non-condensingg,N/A,10°C~50°C,-15°C~60°C,RS232/RS-485/CANWiFi/ Drycontact,['N/A'],mega-eco-10kw,"{'source_document': 'BEVE POWER PRODUCT CATALOG 0507.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,10000W,,,,,,,,,,,,,,,,16200W,10000W,500Vdc,90Vdc/120Vdc,2/18A-35A,97%,4Vdc,,,190A,,220A,190A,500x432x60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEGA-ECO-12KW,hybrid_system,BEVE POWER,MEGA-ECO,N/A,N/A,"Parallel Operation, 2 Independent AC Inputs, 2 Outputs, High Efficiency, Wi-Fi, Maximize PV Input Power(2 MPPTs), Touchscreen",BEVE POWER,,,,,,,60-450dc,,220/230/240VAC,184-254.5 VAC or 195.5-253 VAC or 184-264.4 VAC Selec,52.2A,0.99,,135-140 VAC/180 VAC,90-280VAC or 110-280 VAC,50Hz/60Hz,70A,Pure sine wave,,45,5% to 95% Relative Humidity(Non-condensingg,N/A,10°C~50°C,-15°C~60°C,RS232/RS-485/CANWiFi/ Drycontact,['N/A'],mega-eco-12kw,"{'source_document': 'BEVE POWER PRODUCT CATALOG 0507.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,12000W,,,,,,,,,,,,,,,,16200W,12000W,500Vdc,90Vdc/120Vdc,2/18A-36A,97%,4Vdc,,,250A,,250A,250A,500x432x60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC-10KW,hybrid_system,BEVE POWER,MAGIC,N/A,5,"Parallel Operation, 2 Independent AC Inputs, 2 Outputs, High Efficiency, Wi-Fi, Maximize PV Input Power(3MPPTs), Touchscreen",BEVE POWER,,,3 phase in /3 phase out,,,,200Vdc-800Vdc,,230VAC(P/N)/400VAC(P/P),194-265VAC per phase,14.5A per phase,>0.99,,120-140 VAC per phase/180 VAC per phase,90-280VAC per phase,50 Hz/60 Hz(Auto sensing),40A,Pure sine wave,,48,5% to 95% Relative Humidity(Non-condensing),IP65,25°C~60°45°C power derating,-15°C~60°C,RS232/RS 485/CAN/WiFi/ Dry contact,['N/A'],magic-10kw,"{'source_document': 'BEVE POWER PRODUCT CATALOG 0507.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,10000W,,,,,,,,,,,,,,,,16200W,10000W,1000Vdc,150 dc/200Vdc,2/18A+36A,98%,N/A,,,220A,,,220A,576*553*250,220A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC-12KW,hybrid_system,BEVE POWER,MAGIC,N/A,5,"Parallel Operation, 2 Independent AC Inputs, 2 Outputs, High Efficiency, Wi-Fi, Maximize PV Input Power(3MPPTs), Touchscreen",BEVE POWER,,,3 phase in /3 phase out,,,,200Vdc-800Vdc,,230VAC(P/N)/400VAC(P/P),194-265VAC per phase,17.4 A per phase,>0.99,,120-140 VAC per phase/180 VAC per phase,90-280VAC per phase,50 Hz/60 Hz(Auto sensing),50A,Pure sine wave,,52,5% to 95% Relative Humidity(Non-condensing),IP65,25°C~60°45°C power derating,-15°C~60°C,RS232/RS 485/CAN/WiFi/ Dry contact,['N/A'],magic-12kw,"{'source_document': 'BEVE POWER PRODUCT CATALOG 0507.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,12000W,,,,,,,,,,,,,,,,16200W,12000W,1000Vdc,150 dc/200Vdc,2/18A-35A,98%,N/A,,,250A,,,250A,576*553*250,250A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC-14KW,hybrid_system,BEVE POWER,MAGIC,N/A,5,"Parallel Operation, 2 Independent AC Inputs, 2 Outputs, High Efficiency, Wi-Fi, Maximize PV Input Power(3MPPTs), Touchscreen",BEVE POWER,,,3 phase in /3 phase out,,,,200Vdc-800Vdc,,230VAC(P/N)/400VAC(P/P),194-265VAC per phase,20.2A per phase,>0.99,,120-140 VAC per phase/180 VAC per phase,90-280VAC per phase,50 Hz/60 Hz(Auto sensing),50A,Pure sine wave,,58,5% to 95% Relative Humidity(Non-condensing),IP65,25°C~60°45°C power derating,-15°C~60°C,RS232/RS 485/CAN/WiFi/ Dry contact,['N/A'],magic-14kw,"{'source_document': 'BEVE POWER PRODUCT CATALOG 0507.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,14000W,,,,,,,,,,,,,,,,16200W,14000W,1000Vdc,150 dc/200Vdc,2/18A-36A,98%,N/A,,,200A,,,290A,576*553*250,290A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV1000-12,inverter,N/A,PV1000,N/A,N/A,"Built-in 60A Solar Charger, Support Lithium/Lead-acid Battery, Pure Sine Wave, Power Factor 1.0, LCD Display, Detachable Dust Cover",N/A,,,,,,,,,,,,,,,,,,,,3.2,,,,,,['N/A'],pv1000-12,"{'source_document': 'inverter product list.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,,,,,,,,,,,,,,4000m (Derating above 1000m),,,,,,,,,,,,,,,,,,208/220/230/240; L+N+PE,90-280±3 (normal mode); 170-280-3 (UPS mode),50/60 (Auto Adaptive),1.2,2.4,208/220/230/240,7,50/60Hz±0.1%,10 (normal mode) / 10 (UPS mode),Pure Sine Wave,"60s@102%~110% load: 10s@110%~130% load; 3s@130%~150% load, 0.2s@>150% load",90%@12VDC,NA,MPPT,14A/1000W,18~100,125,60,60,120,12,13.8,15,347*236*91mm,IP21,-10 °C~50°C,5%~95% (Non-condensing),-15 °C-60 °C,RS485/RS232,,,,
PV5000-24L,inverter,N/A,PV5000,N/A,N/A,"Built-in 100A Solar Charger, Wide MPPT Range 40-500V, Support Lithium/Lead-acid Battery, Workable with Generator, Detachable Dust Cover, Complete CE Certificate, WiFi Monitoring",N/A,,,,,,,,,,,,,,,,,,,,64,,,,,,['CE'],pv5000-24l,"{'source_document': 'inverter product list.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,,,,,,,,,,,,,,4000m (Derating above 1000m),,,,,,,,,,,,,,,,,,208/220/230/240; L+N+PE,90-280-3 (normal mode); 170-280 3 (UPS mode),50/60 (Auto Adaptive),3.6,7.2,208/220/230/240,1,50/60Hz±0.1%,10 (normal mode) / 10 (UPS mode),Pure Sine Wave,"60s@102%~110% load; 10s@110%~130% load, 3s@130%~150% load, 0.2s@>150% load",92.7%@24VDC,NA,MPPT,,40~450,500,100,100,100,24,27,30.5,,IP21,-10 °C-50°C,5%-95% (Non-condensing),-15 C-80°C,RS485/RS232/USB/Dry Contact,18A/5000W,490*306*115mm (without bracket),WiFi (Optional),
PV9000-24 S5.0,hybrid_system,N/A,PV9000,N/A,N/A,"Built-in 160A Solar Charger, Wide PV Input Voltage Range 60-500V, Support Lithium/Lead-acid Battery, Dual AC Out, Feed-in to Grid, 5 Inch LCD Display, Built-in WiFi Monitoring",N/A,,,,,,,,,,,,,,,,,,,,8.4,,,,,,['N/A'],pv9000-24-s5.0,"{'source_document': 'inverter product list.pdf', 'extraction_date': 'timestamp', 'confidence_score': 'high', 'data_completeness': 'high'}",,,,,,,,,,,,,,,,,,,,,,,,4000m (Derating above 1000m),,,,,,,,,,,,,,,,,,208/220/230/240; L+N+ PE,"90~280±3 (normal mode), 170-280±3 (UPS mode)",50/60 (Auto Adaptive),5,10,208/220/230/240,1,50/60Hz±0.1%,10 (normal mode) / 10 (UPS mode),Pure Sine Wave,"1min@102%-120%load, 10s>120% load",93.5%@24VDC,NA,MPPT,,60~450,500,160,160,160,24,27,30.5,,IP21,-10 °C-60°C,5%-95% (Non-condensing),-15 °C-60°C,RS232/RS485/USB,27A/9000W,410*336*110mm,WiFi (built-in),
